2022-03-30T16:34:48.534929106Z stdout: CANARY ::> Connection Establish -> Time = 0.009201288223266602.s
2022-03-30T16:36:06.460256723Z stdout: CANARY ::> Query 3 completed -> Time = 77.93453431129456.s
2022-03-30T16:36:07.41662949Z  stdout: CANARY ::> Query 4 completed -> Time = 78.89089632034302.s
2022-03-30T16:36:07.417368348Z stdout: CANARY ::> Query 5 completed -> Time = 78.89184331893921.s
2022-03-30T16:36:09.428179727Z stdout: CANARY ::> Query 6 completed -> Time = 80.90242838859558.s
2022-03-30T16:36:09.428197103Z stdout: CANARY ::> State 20 collection -> Time = 80.90247082710266.s
2022-03-30T16:36:09.42820051Z  stdout: CANARY ::> Iteration 21 starting -> Time = 80.9024772644043.s
2022-03-30T16:36:09.849680076Z stdout: CANARY ::> Query 1 completed -> Time = 81.3240098953247.s
2022-03-30T16:36:10.325423671Z stdout: CANARY ::> Query 2 completed -> Time = 81.799733877182.s
2022-03-30T16:36:10.361784369Z stdout: CANARY ::> Query 3 completed -> Time = 81.8361485004425.s
2022-03-30T16:36:11.350790446Z stdout: CANARY ::> Query 4 completed -> Time = 82.82505321502686.s
2022-03-30T16:36:11.351400641Z stdout: CANARY ::> Query 5 completed -> Time = 82.82587742805481.s
2022-03-30T16:36:13.373139659Z stdout: CANARY ::> Query 6 completed -> Time = 84.84743523597717.s
2022-03-30T16:36:13.373165995Z stdout: CANARY ::> State 21 collection -> Time = 84.8474805355072.s
2022-03-30T16:36:13.373169407Z stdout: CANARY ::> Iteration 22 starting -> Time = 84.84748840332031.s
2022-03-30T16:36:13.796866971Z stdout: CANARY ::> Query 1 completed -> Time = 85.27115726470947.s
2022-03-30T16:36:14.2748013Z   stdout: CANARY ::> Query 2 completed -> Time = 85.74910688400269.s
2022-03-30T16:36:14.311917245Z stdout: CANARY ::> Query 3 completed -> Time = 85.78618359565735.s
2022-03-30T16:36:15.280713663Z stdout: CANARY ::> Query 4 completed -> Time = 86.75511574745178.s
2022-03-30T16:36:15.281360727Z stdout: CANARY ::> Query 5 completed -> Time = 86.75584125518799.s
2022-03-30T16:36:17.288838657Z stdout: CANARY ::> Query 6 completed -> Time = 88.76308250427246.s
2022-03-30T16:36:17.288868565Z stdout: CANARY ::> State 22 collection -> Time = 88.76312685012817.s
2022-03-30T16:36:17.288871738Z stdout: CANARY ::> Iteration 23 starting -> Time = 88.76313591003418.s
2022-03-30T16:36:17.715232174Z stdout: CANARY ::> Query 1 completed -> Time = 89.18951463699341.s
2022-03-30T16:36:18.198964168Z stdout: CANARY ::> Query 2 completed -> Time = 89.67324781417847.s
2022-03-30T16:36:18.234601868Z stdout: CANARY ::> Query 3 completed -> Time = 89.7089159488678.s
2022-03-30T16:36:19.212121549Z stdout: CANARY ::> Query 4 completed -> Time = 90.68646883964539.s
2022-03-30T16:36:19.212725908Z stdout: CANARY ::> Query 5 completed -> Time = 90.68721032142639.s
2022-03-30T16:36:21.233313729Z stdout: CANARY ::> Query 6 completed -> Time = 92.70763397216797.s
2022-03-30T16:36:21.23332933Z  stdout: CANARY ::> State 23 collection -> Time = 92.70768141746521.s
2022-03-30T16:36:21.233332626Z stdout: CANARY ::> Iteration 24 starting -> Time = 92.70769000053406.s
2022-03-30T16:36:21.660757163Z stdout: CANARY ::> Query 1 completed -> Time = 93.13509392738342.s
2022-03-30T16:36:22.146120533Z stdout: CANARY ::> Query 2 completed -> Time = 93.62043309211731.s
2022-03-30T16:36:22.183332616Z stdout: CANARY ::> Query 3 completed -> Time = 93.6577467918396.s
2022-03-30T16:36:23.170324613Z stdout: CANARY ::> Query 4 completed -> Time = 94.64459896087646.s
2022-03-30T16:36:23.171105869Z stdout: CANARY ::> Query 5 completed -> Time = 94.6455807685852.s
2022-03-30T16:36:25.181885175Z stdout: CANARY ::> Query 6 completed -> Time = 96.65615820884705.s
2022-03-30T16:36:25.181901754Z stdout: CANARY ::> State 24 collection -> Time = 96.65620160102844.s
2022-03-30T16:36:25.181904888Z stdout: CANARY ::> Iteration 25 starting -> Time = 96.65620923042297.s
2022-03-30T16:36:25.610928566Z stdout: CANARY ::> Query 1 completed -> Time = 97.08528304100037.s
2022-03-30T16:36:26.087035196Z stdout: CANARY ::> Query 2 completed -> Time = 97.56130766868591.s
2022-03-30T16:36:26.124463479Z stdout: CANARY ::> Query 3 completed -> Time = 97.59875965118408.s
2022-03-30T16:36:27.022403171Z stdout: CANARY ::> Query 4 completed -> Time = 98.49675464630127.s
2022-03-30T16:36:27.023252097Z stdout: CANARY ::> Query 5 completed -> Time = 98.49773597717285.s
2022-03-30T16:36:29.045279098Z stdout: CANARY ::> Query 6 completed -> Time = 100.51954531669617.s
2022-03-30T16:36:29.045297267Z stdout: CANARY ::> State 25 collection -> Time = 100.51958751678467.s
2022-03-30T16:36:29.045300753Z stdout: CANARY ::> Iteration 26 starting -> Time = 100.51959371566772.s
2022-03-30T16:36:29.471124109Z stdout: CANARY ::> Query 1 completed -> Time = 100.94537949562073.s
2022-03-30T16:36:29.950943794Z stdout: CANARY ::> Query 2 completed -> Time = 101.42519783973694.s
2022-03-30T16:36:29.986465847Z stdout: CANARY ::> Query 3 completed -> Time = 101.46077036857605.s
2022-03-30T16:36:30.949605716Z stdout: CANARY ::> Query 4 completed -> Time = 102.4238920211792.s
2022-03-30T16:36:30.949980871Z stdout: CANARY ::> Query 5 completed -> Time = 102.42446231842041.s
2022-03-30T16:36:32.972797502Z stdout: CANARY ::> Query 6 completed -> Time = 104.44713973999023.s
2022-03-30T16:36:32.972815773Z stdout: CANARY ::> State 26 collection -> Time = 104.44718480110168.s
2022-03-30T16:36:32.972818886Z stdout: CANARY ::> Iteration 27 starting -> Time = 104.44719243049622.s
2022-03-30T16:36:33.395498947Z stdout: CANARY ::> Query 1 completed -> Time = 104.86977243423462.s
2022-03-30T16:36:33.868170475Z stdout: CANARY ::> Query 2 completed -> Time = 105.34245610237122.s
2022-03-30T16:36:33.905523831Z stdout: CANARY ::> Query 3 completed -> Time = 105.37982368469238.s
